Trip ID,Start Date,Start Station,End Date,End Station,Subscriber Type
913460,31/08/2015 23:26,50,31/08/2015 23:39,70,Subscriber
913459,31/08/2015 23:11,31,31/08/2015 23:28,27,Subscriber
913455,31/08/2015 23:13,47,31/08/2015 23:18,64,Subscriber
913454,31/08/2015 23:10,10,31/08/2015 23:17,8,Subscriber
913453,31/08/2015 23:09,51,31/08/2015 23:22,60,Customer
913452,31/08/2015 23:07,68,31/08/2015 23:12,70,Subscriber
913451,31/08/2015 23:07,51,31/08/2015 23:22,60,Customer
913450,31/08/2015 22:16,60,31/08/2015 22:20,74,Subscriber
913449,31/08/2015 22:12,56,31/08/2015 22:15,55,Subscriber
913448,31/08/2015 21:57,47,31/08/2015 22:12,66,Subscriber
913443,31/08/2015 21:49,60,31/08/2015 22:01,77,Subscriber
913442,31/08/2015 21:44,67,31/08/2015 21:54,70,Subscriber
913441,31/08/2015 21:39,76,31/08/2015 21:46,73,Subscriber
913440,31/08/2015 21:31,77,31/08/2015 21:36,82,Subscriber
913435,31/08/2015 21:25,55,31/08/2015 21:33,88,Subscriber
913434,31/08/2015 21:19,88,31/08/2015 21:24,65,Subscriber
913433,31/08/2015 21:17,35,31/08/2015 21:20,37,Customer
913432,31/08/2015 21:16,87,31/08/2015 21:28,88,Subscriber
913431,31/08/2015 21:11,55,31/08/2015 21:21,73,Subscriber
913429,31/08/2015 21:07,70,31/08/2015 21:22,82,Subscriber
913426,31/08/2015 21:06,70,31/08/2015 21:14,76,Subscriber
913421,31/08/2015 21:01,28,31/08/2015 21:07,32,Subscriber
913419,31/08/2015 20:58,74,31/08/2015 21:10,70,Subscriber
913416,31/08/2015 20:53,68,31/08/2015 20:59,88,Subscriber
913415,31/08/2015 20:53,50,31/08/2015 20:58,54,Subscriber
913410,31/08/2015 20:46,60,31/08/2015 20:58,54,Subscriber
913409,31/08/2015 20:44,87,31/08/2015 20:52,61,Subscriber
913404,31/08/2015 20:39,88,31/08/2015 20:44,65,Subscriber
913403,31/08/2015 20:37,77,31/08/2015 20:45,61,Subscriber
913402,31/08/2015 20:36,67,31/08/2015 20:43,57,Subscriber
913401,31/08/2015 20:34,90,31/08/2015 20:42,56,Subscriber
913400,31/08/2015 20:33,61,31/08/2015 20:45,71,Customer
913393,31/08/2015 20:27,32,31/08/2015 20:32,28,Subscriber
913392,31/08/2015 20:24,63,31/08/2015 20:30,70,Subscriber
913391,31/08/2015 20:24,57,31/08/2015 20:29,88,Subscriber
913388,31/08/2015 20:23,64,31/08/2015 20:28,77,Subscriber
913387,31/08/2015 20:23,57,31/08/2015 20:29,88,Customer
913386,31/08/2015 20:23,54,31/08/2015 20:53,50,Subscriber
913385,31/08/2015 20:23,63,31/08/2015 20:26,64,Subscriber
913384,31/08/2015 20:23,57,31/08/2015 20:29,88,Customer
913383,31/08/2015 20:20,61,31/08/2015 20:44,60,Customer
913382,31/08/2015 20:20,65,31/08/2015 20:31,50,Subscriber
913381,31/08/2015 20:17,68,31/08/2015 20:23,74,Subscriber
913380,31/08/2015 20:15,77,31/08/2015 20:28,70,Subscriber
913379,31/08/2015 20:15,87,31/08/2015 20:28,65,Subscriber
913375,31/08/2015 20:12,77,31/08/2015 20:18,82,Subscriber
913372,31/08/2015 20:10,88,31/08/2015 20:18,50,Subscriber
913371,31/08/2015 20:10,65,31/08/2015 20:21,87,Subscriber
913368,31/08/2015 20:09,45,31/08/2015 20:24,58,Subscriber
913367,31/08/2015 20:08,70,31/08/2015 20:22,87,Customer
913364,31/08/2015 20:06,88,31/08/2015 20:14,39,Subscriber
913363,31/08/2015 20:06,63,31/08/2015 20:14,88,Subscriber
913361,31/08/2015 20:05,88,31/08/2015 20:09,65,Subscriber
913356,31/08/2015 20:03,77,31/08/2015 20:07,41,Subscriber
913353,31/08/2015 20:01,68,31/08/2015 20:11,61,Customer
913351,31/08/2015 20:01,63,31/08/2015 20:06,76,Subscriber
913349,31/08/2015 20:00,50,31/08/2015 20:09,61,Subscriber
913348,31/08/2015 19:59,68,31/08/2015 20:09,67,Subscriber
913346,31/08/2015 19:58,76,31/08/2015 20:06,88,Subscriber
913345,31/08/2015 19:58,88,31/08/2015 20:06,39,Subscriber
913344,31/08/2015 19:55,87,31/08/2015 20:01,42,Subscriber
913343,31/08/2015 19:51,57,31/08/2015 19:58,65,Subscriber
913342,31/08/2015 19:49,66,31/08/2015 19:57,76,Subscriber
913341,31/08/2015 19:49,47,31/08/2015 19:55,57,Subscriber
913340,31/08/2015 19:48,61,31/08/2015 19:58,74,Subscriber
913338,31/08/2015 19:47,61,31/08/2015 19:54,77,Subscriber
913337,31/08/2015 19:47,88,31/08/2015 19:54,64,Subscriber
913335,31/08/2015 19:47,76,31/08/2015 19:55,88,Subscriber
913329,31/08/2015 19:42,75,31/08/2015 19:51,90,Subscriber
913326,31/08/2015 19:42,28,31/08/2015 19:57,33,Subscriber
913324,31/08/2015 19:41,88,31/08/2015 19:47,64,Subscriber
913322,31/08/2015 19:41,59,31/08/2015 19:54,87,Subscriber
913321,31/08/2015 19:40,74,31/08/2015 19:43,75,Subscriber
913320,31/08/2015 19:39,76,31/08/2015 19:53,61,Subscriber
913318,31/08/2015 19:37,51,31/08/2015 19:45,73,Subscriber
913317,31/08/2015 19:34,74,31/08/2015 19:41,60,Subscriber
913316,31/08/2015 19:34,88,31/08/2015 19:39,65,Subscriber
913315,31/08/2015 19:33,74,31/08/2015 19:42,61,Subscriber
913314,31/08/2015 19:33,64,31/08/2015 19:39,74,Subscriber
913313,31/08/2015 19:33,77,31/08/2015 19:39,39,Subscriber
913311,31/08/2015 19:31,63,31/08/2015 19:33,77,Subscriber
913309,31/08/2015 19:30,61,31/08/2015 19:36,63,Subscriber
913308,31/08/2015 19:30,88,31/08/2015 19:33,61,Subscriber
913307,31/08/2015 19:30,74,31/08/2015 19:43,70,Subscriber
913306,31/08/2015 19:29,64,31/08/2015 19:39,58,Subscriber
913305,31/08/2015 19:27,42,31/08/2015 19:32,55,Subscriber
913304,31/08/2015 19:27,48,31/08/2015 19:30,74,Subscriber
913303,31/08/2015 19:27,64,31/08/2015 19:32,87,Subscriber
913301,31/08/2015 19:25,77,31/08/2015 19:43,66,Customer
913299,31/08/2015 19:23,67,31/08/2015 19:41,60,Customer
913298,31/08/2015 19:23,61,31/08/2015 19:30,77,Subscriber
913297,31/08/2015 19:21,61,31/08/2015 19:29,87,Subscriber
913296,31/08/2015 19:20,63,31/08/2015 19:33,65,Subscriber
913295,31/08/2015 19:19,77,31/08/2015 19:25,71,Subscriber
913294,31/08/2015 19:19,64,31/08/2015 19:23,63,Subscriber
913293,31/08/2015 19:19,42,31/08/2015 19:25,60,Subscriber
913292,31/08/2015 19:19,77,31/08/2015 19:26,54,Subscriber
913291,31/08/2015 19:18,42,31/08/2015 19:25,60,Subscriber
913290,31/08/2015 19:18,87,31/08/2015 19:23,61,Subscriber
913289,31/08/2015 19:18,77,31/08/2015 19:26,64,Subscriber
913288,31/08/2015 19:18,63,31/08/2015 19:21,64,Subscriber
913287,31/08/2015 19:17,65,31/08/2015 19:31,74,Subscriber
913286,31/08/2015 19:17,41,31/08/2015 19:34,70,Subscriber
913285,31/08/2015 19:15,51,31/08/2015 19:23,60,Subscriber
913284,31/08/2015 19:15,82,31/08/2015 19:20,75,Subscriber
913283,31/08/2015 19:14,76,31/08/2015 19:24,66,Subscriber
913282,31/08/2015 19:13,88,31/08/2015 19:17,65,Subscriber
913281,31/08/2015 19:12,65,31/08/2015 19:19,90,Subscriber
913280,31/08/2015 19:11,77,31/08/2015 19:19,54,Subscriber
913279,31/08/2015 19:11,66,31/08/2015 19:23,55,Subscriber
913278,31/08/2015 19:10,36,31/08/2015 19:29,29,Subscriber
913277,31/08/2015 19:10,48,31/08/2015 19:25,70,Subscriber
913276,31/08/2015 19:09,64,31/08/2015 19:13,77,Subscriber
913275,31/08/2015 19:09,55,31/08/2015 19:17,70,Subscriber
913274,31/08/2015 19:08,76,31/08/2015 19:18,61,Subscriber
913273,31/08/2015 19:08,22,31/08/2015 19:12,26,Subscriber
913272,31/08/2015 19:06,57,31/08/2015 19:14,67,Subscriber
913270,31/08/2015 19:06,64,31/08/2015 19:30,46,Subscriber
913269,31/08/2015 19:05,48,31/08/2015 19:10,50,Subscriber
913268,31/08/2015 19:05,70,31/08/2015 19:09,61,Subscriber
913267,31/08/2015 19:04,48,31/08/2015 19:17,88,Subscriber
913266,31/08/2015 19:04,37,31/08/2015 19:08,34,Subscriber
913265,31/08/2015 19:04,65,31/08/2015 19:15,87,Subscriber
913264,31/08/2015 19:04,61,31/08/2015 19:11,74,Subscriber
913263,31/08/2015 19:03,28,31/08/2015 19:09,30,Subscriber
913258,31/08/2015 19:02,57,31/08/2015 19:09,74,Subscriber
913256,31/08/2015 19:02,28,31/08/2015 19:09,32,Subscriber
913254,31/08/2015 19:02,28,31/08/2015 19:06,32,Subscriber
913251,31/08/2015 19:01,60,31/08/2015 19:12,55,Subscriber
913250,31/08/2015 18:57,70,31/08/2015 19:01,61,Customer
913248,31/08/2015 18:56,88,31/08/2015 19:01,64,Subscriber
913247,31/08/2015 18:55,77,31/08/2015 19:02,73,Subscriber
913246,31/08/2015 18:55,70,31/08/2015 19:08,50,Subscriber
913245,31/08/2015 18:55,70,31/08/2015 19:07,42,Subscriber
913244,31/08/2015 18:55,22,31/08/2015 18:59,83,Subscriber
913243,31/08/2015 18:55,70,31/08/2015 19:07,42,Subscriber
913242,31/08/2015 18:53,76,31/08/2015 19:00,67,Subscriber
913241,31/08/2015 18:54,41,31/08/2015 18:58,63,Subscriber
913237,31/08/2015 18:51,63,31/08/2015 18:53,77,Subscriber
913236,31/08/2015 18:50,74,31/08/2015 18:57,60,Subscriber
913235,31/08/2015 18:50,51,31/08/2015 19:01,61,Subscriber
913234,31/08/2015 18:49,77,31/08/2015 19:00,54,Subscriber
913233,31/08/2015 18:49,56,31/08/2015 18:57,39,Subscriber
913232,31/08/2015 18:49,51,31/08/2015 18:56,61,Subscriber
913231,31/08/2015 18:49,39,31/08/2015 18:57,55,Subscriber
913230,31/08/2015 18:48,75,31/08/2015 18:55,39,Subscriber
913228,31/08/2015 18:47,50,31/08/2015 19:02,70,Subscriber
913227,31/08/2015 18:47,67,31/08/2015 18:56,46,Subscriber
913226,31/08/2015 18:46,65,31/08/2015 18:49,70,Subscriber
913225,31/08/2015 18:45,61,31/08/2015 18:54,77,Subscriber
913224,31/08/2015 18:45,56,31/08/2015 19:02,67,Subscriber
913223,31/08/2015 18:45,80,31/08/2015 18:57,6,Subscriber
913222,31/08/2015 18:44,82,31/08/2015 18:48,74,Subscriber
913221,31/08/2015 18:44,61,31/08/2015 18:53,47,Subscriber
913220,31/08/2015 18:44,51,31/08/2015 18:46,54,Subscriber
913219,31/08/2015 18:44,57,31/08/2015 18:51,55,Subscriber
913218,31/08/2015 18:43,74,31/08/2015 18:53,70,Subscriber
913217,31/08/2015 18:43,2,31/08/2015 18:56,16,Subscriber
913216,31/08/2015 18:41,2,31/08/2015 18:51,84,Subscriber
913215,31/08/2015 18:40,76,31/08/2015 18:48,70,Subscriber
913214,31/08/2015 18:40,57,31/08/2015 18:45,88,Subscriber
913213,31/08/2015 18:39,28,31/08/2015 18:45,32,Subscriber
913212,31/08/2015 18:39,57,31/08/2015 18:40,57,Subscriber
913211,31/08/2015 18:38,60,31/08/2015 20:44,60,Customer
913210,31/08/2015 18:38,60,31/08/2015 20:43,60,Customer
913209,31/08/2015 18:38,60,31/08/2015 18:45,74,Subscriber
913208,31/08/2015 18:38,77,31/08/2015 18:42,55,Subscriber
913207,31/08/2015 18:38,60,31/08/2015 18:42,74,Subscriber
913205,31/08/2015 18:37,28,31/08/2015 18:46,33,Subscriber
913204,31/08/2015 18:36,54,31/08/2015 18:44,88,Customer
913203,31/08/2015 18:36,2,31/08/2015 18:44,7,Subscriber
913202,31/08/2015 18:36,2,31/08/2015 18:44,7,Subscriber
913201,31/08/2015 18:36,67,31/08/2015 18:44,71,Subscriber
913199,31/08/2015 18:34,77,31/08/2015 18:46,88,Subscriber
913198,31/08/2015 18:34,65,31/08/2015 18:40,65,Subscriber
913197,31/08/2015 18:34,67,31/08/2015 18:45,88,Subscriber
913195,31/08/2015 18:34,77,31/08/2015 18:39,55,Subscriber
913193,31/08/2015 18:32,88,31/08/2015 18:38,57,Subscriber
913191,31/08/2015 18:32,70,31/08/2015 18:40,55,Subscriber
913189,31/08/2015 18:31,88,31/08/2015 18:35,65,Subscriber
913186,31/08/2015 18:31,70,31/08/2015 18:52,41,Subscriber
913185,31/08/2015 18:30,90,31/08/2015 18:38,88,Customer
913184,31/08/2015 18:30,75,31/08/2015 18:43,59,Customer
913183,31/08/2015 18:30,62,31/08/2015 18:34,77,Subscriber
913169,31/08/2015 18:26,55,31/08/2015 18:29,56,Subscriber
913166,31/08/2015 18:25,50,31/08/2015 18:35,71,Subscriber
913165,31/08/2015 18:24,87,31/08/2015 18:29,63,Subscriber
913164,31/08/2015 18:24,65,31/08/2015 18:30,61,Subscriber
913163,31/08/2015 18:23,60,31/08/2015 18:44,88,Customer
913162,31/08/2015 18:23,51,31/08/2015 18:30,88,Subscriber
913161,31/08/2015 18:23,60,31/08/2015 18:44,88,Customer
913160,31/08/2015 18:23,76,31/08/2015 18:32,70,Subscriber
913159,31/08/2015 18:22,55,31/08/2015 18:26,74,Subscriber
913158,31/08/2015 18:22,68,31/08/2015 18:41,59,Subscriber
913157,31/08/2015 18:21,57,31/08/2015 18:26,88,Subscriber
913156,31/08/2015 18:20,65,31/08/2015 18:23,88,Subscriber
913155,31/08/2015 18:20,45,31/08/2015 18:25,68,Subscriber
913153,31/08/2015 18:20,61,31/08/2015 18:25,62,Subscriber
913152,31/08/2015 18:19,77,31/08/2015 18:24,50,Subscriber
913151,31/08/2015 18:18,32,31/08/2015 18:25,28,Subscriber
913150,31/08/2015 18:18,55,31/08/2015 18:27,88,Subscriber
913149,31/08/2015 18:17,42,31/08/2015 18:27,71,Subscriber
913148,31/08/2015 18:17,68,31/08/2015 18:29,74,Customer
913147,31/08/2015 18:17,39,31/08/2015 18:23,75,Subscriber
913146,31/08/2015 18:16,60,31/08/2015 18:24,50,Subscriber
913145,31/08/2015 18:16,62,31/08/2015 18:24,88,Subscriber
913144,31/08/2015 18:15,82,31/08/2015 18:31,70,Subscriber
913142,31/08/2015 18:15,82,31/08/2015 18:21,55,Subscriber
913141,31/08/2015 18:14,77,31/08/2015 18:22,88,Subscriber
913140,31/08/2015 18:14,63,31/08/2015 18:23,88,Subscriber
913138,31/08/2015 18:14,71,31/08/2015 18:22,63,Customer
913137,31/08/2015 18:13,66,31/08/2015 18:26,88,Subscriber
913136,31/08/2015 18:13,58,31/08/2015 18:20,76,Subscriber
913135,31/08/2015 18:13,62,31/08/2015 18:19,41,Subscriber
913134,31/08/2015 18:12,4,31/08/2015 18:16,2,Subscriber
913133,31/08/2015 18:11,48,31/08/2015 18:29,75,Customer
913131,31/08/2015 18:09,50,31/08/2015 18:23,88,Subscriber
913130,31/08/2015 18:10,26,31/08/2015 18:17,22,Subscriber
913129,31/08/2015 18:09,42,31/08/2015 18:25,88,Subscriber
913128,31/08/2015 18:08,68,31/08/2015 18:15,70,Subscriber
913127,31/08/2015 18:08,70,31/08/2015 18:27,60,Subscriber
913126,31/08/2015 18:08,39,31/08/2015 18:16,74,Subscriber
913125,31/08/2015 18:08,88,31/08/2015 18:14,57,Subscriber
913124,31/08/2015 18:08,74,31/08/2015 18:21,70,Subscriber
913123,31/08/2015 18:08,70,31/08/2015 18:19,77,Subscriber
913122,31/08/2015 18:07,65,31/08/2015 18:14,61,Subscriber
913121,31/08/2015 18:06,75,31/08/2015 18:18,60,Subscriber
913120,31/08/2015 18:06,74,31/08/2015 18:20,59,Subscriber
913118,31/08/2015 18:05,5,31/08/2015 18:10,2,Subscriber
913117,31/08/2015 18:05,61,31/08/2015 18:14,50,Subscriber
913116,31/08/2015 18:04,67,31/08/2015 18:12,39,Subscriber
913115,31/08/2015 18:04,67,31/08/2015 18:12,88,Subscriber
913114,31/08/2015 18:04,28,31/08/2015 18:08,27,Subscriber
913113,31/08/2015 18:03,31,31/08/2015 18:06,29,Subscriber
913112,31/08/2015 18:03,2,31/08/2015 18:08,4,Subscriber
913111,31/08/2015 18:03,4,31/08/2015 18:08,2,Subscriber
913110,31/08/2015 18:03,51,31/08/2015 18:13,70,Subscriber
913108,31/08/2015 18:03,76,31/08/2015 18:08,55,Subscriber
913107,31/08/2015 18:03,62,31/08/2015 18:07,77,Subscriber
913104,31/08/2015 18:02,68,31/08/2015 18:08,70,Subscriber
913103,31/08/2015 18:02,45,31/08/2015 18:21,65,Subscriber
913102,31/08/2015 18:02,71,31/08/2015 18:15,66,Subscriber
913101,31/08/2015 18:01,82,31/08/2015 18:07,55,Subscriber
913100,31/08/2015 18:01,62,31/08/2015 18:06,61,Subscriber
913099,31/08/2015 18:01,82,31/08/2015 18:05,56,Subscriber
913097,31/08/2015 18:00,61,31/08/2015 18:10,42,Subscriber
913096,31/08/2015 18:00,37,31/08/2015 18:04,34,Subscriber
913095,31/08/2015 18:00,60,31/08/2015 18:05,74,Subscriber
913094,31/08/2015 18:00,55,31/08/2015 18:09,70,Customer
913093,31/08/2015 18:00,77,31/08/2015 18:11,59,Subscriber
913092,31/08/2015 18:00,62,31/08/2015 18:04,55,Subscriber
913090,31/08/2015 18:00,74,31/08/2015 18:14,59,Subscriber
913089,31/08/2015 17:59,39,31/08/2015 18:09,88,Subscriber
913086,31/08/2015 17:59,57,31/08/2015 18:07,88,Subscriber
913085,31/08/2015 17:59,65,31/08/2015 18:02,88,Subscriber
913084,31/08/2015 17:58,63,31/08/2015 18:08,60,Customer
913083,31/08/2015 17:58,74,31/08/2015 18:15,65,Subscriber
913082,31/08/2015 17:58,60,31/08/2015 18:08,54,Subscriber
913079,31/08/2015 17:57,82,31/08/2015 18:12,70,Subscriber
913078,31/08/2015 17:57,70,31/08/2015 18:12,60,Subscriber
913076,31/08/2015 17:57,82,31/08/2015 18:09,61,Subscriber
913075,31/08/2015 17:56,28,31/08/2015 18:02,30,Subscriber
913072,31/08/2015 17:55,74,31/08/2015 18:03,61,Subscriber
913071,31/08/2015 17:55,7,31/08/2015 17:59,16,Subscriber
913069,31/08/2015 17:54,48,31/08/2015 18:15,70,Subscriber
913068,31/08/2015 17:54,68,31/08/2015 18:02,70,Customer
913067,31/08/2015 17:54,34,31/08/2015 17:58,37,Subscriber
913066,31/08/2015 17:54,68,31/08/2015 17:57,47,Subscriber
913065,31/08/2015 17:53,34,31/08/2015 17:58,37,Subscriber
913062,31/08/2015 17:53,42,31/08/2015 18:02,63,Subscriber
913061,31/08/2015 17:53,74,31/08/2015 18:08,70,Subscriber
913060,31/08/2015 17:53,74,31/08/2015 18:11,70,Subscriber
913057,31/08/2015 17:52,87,31/08/2015 18:02,70,Subscriber
913056,31/08/2015 17:51,62,31/08/2015 17:59,74,Subscriber
913055,31/08/2015 17:51,67,31/08/2015 18:00,88,Subscriber
913052,31/08/2015 17:51,29,31/08/2015 17:58,33,Subscriber
913051,31/08/2015 17:51,61,31/08/2015 18:01,42,Subscriber
913048,31/08/2015 17:49,66,31/08/2015 18:02,88,Subscriber
913047,31/08/2015 17:49,74,31/08/2015 17:57,47,Subscriber
913046,31/08/2015 17:49,62,31/08/2015 17:55,70,Subscriber
913043,31/08/2015 17:49,61,31/08/2015 17:55,63,Subscriber
913042,31/08/2015 17:48,74,31/08/2015 18:03,70,Subscriber
913041,31/08/2015 17:48,62,31/08/2015 17:53,50,Subscriber
913040,31/08/2015 17:48,87,31/08/2015 17:54,48,Subscriber
913039,31/08/2015 17:48,42,31/08/2015 18:02,90,Subscriber
913038,31/08/2015 17:48,65,31/08/2015 17:54,90,Subscriber
913035,31/08/2015 17:47,45,31/08/2015 17:55,54,Subscriber
913033,31/08/2015 17:47,62,31/08/2015 17:53,74,Subscriber
913032,31/08/2015 17:47,77,31/08/2015 18:05,88,Subscriber
913031,31/08/2015 17:47,88,31/08/2015 17:58,58,Subscriber
913030,31/08/2015 17:47,70,31/08/2015 17:58,60,Subscriber
913029,31/08/2015 17:46,50,31/08/2015 17:57,61,Subscriber
913028,31/08/2015 17:46,45,31/08/2015 17:51,75,Subscriber
913026,31/08/2015 17:45,55,31/08/2015 17:54,88,Subscriber
913025,31/08/2015 17:45,62,31/08/2015 17:51,50,Subscriber
913023,31/08/2015 17:45,51,31/08/2015 17:55,70,Subscriber
913022,31/08/2015 17:45,67,31/08/2015 17:57,46,Subscriber
913021,31/08/2015 17:44,60,31/08/2015 17:51,51,Subscriber
913020,31/08/2015 17:43,65,31/08/2015 17:48,88,Subscriber
913019,31/08/2015 17:43,39,31/08/2015 17:55,65,Subscriber
913018,31/08/2015 17:43,57,31/08/2015 17:48,62,Subscriber
913016,31/08/2015 17:42,88,31/08/2015 17:50,54,Subscriber
913013,31/08/2015 17:41,32,31/08/2015 17:47,28,Subscriber
913011,31/08/2015 17:41,64,31/08/2015 17:47,77,Subscriber
913010,31/08/2015 17:41,65,31/08/2015 17:59,55,Subscriber
913009,31/08/2015 17:40,50,31/08/2015 17:53,70,Subscriber
913006,31/08/2015 17:39,55,31/08/2015 17:43,54,Subscriber
913005,31/08/2015 17:39,42,31/08/2015 17:44,60,Subscriber
913004,31/08/2015 17:39,68,31/08/2015 17:46,74,Subscriber
913001,31/08/2015 17:39,76,31/08/2015 17:46,70,Subscriber
913000,31/08/2015 17:39,67,31/08/2015 17:52,87,Subscriber
